Name,Age,Gender,Current educational level,Monthly Income,Rent/Room Accommodation,Utilities,Groceries,Dining Out/Eating Outside,Public Transportation,Fuel/Car Maintenance,Tuition Fees,Books and Supplies,Online Courses/Subscriptions,Clothing/Shoes,Entertainment,Health Insurance/Medical Expenses,Gym Memberships/Physical Activities,Mobile Phone/Internet Bill,Final Monthly Expense
Hannah Davis,19,Female,High School,780,570,64,88,54,118,68,1431,72,55,42,99,173,29,64,2927
Brenda Woods,19,Female,High School,1221,698,53,63,37,106,75,2835,68,85,84,124,139,19,45,4431
Shannon Smith,19,Female,High School,909,536,59,167,93,193,88,1420,48,59,57,89,116,79,63,3067
Ashlee Wood,22,Female,Undergraduate,814,784,66,187,46,164,63,4077,65,48,141,78,197,17,41,5974
Priscilla Gilbert,23,Female,Undergraduate,531,693,61,60,97,119,49,2086,65,51,93,151,156,33,57,3771
Heather Lawson,27,Female,Graduate,616,555,58,125,68,147,38,3438,75,90,22,158,140,60,69,5043
Jake Russo,23,Male,High School,1141,750,64,179,71,196,67,4703,89,21,127,107,189,88,61,6712
Paula Silva,22,Female,Graduate,967,542,69,73,63,157,31,1337,67,46,36,70,104,62,31,2688
Joshua Thompson,24,Male,High School,787,751,55,196,50,119,58,4249,103,28,119,137,177,75,55,6172
Allison Welch,22,Female,High School,830,520,59,134,53,150,40,1002,52,31,77,93,155,63,37,2466
Marie Martin,19,Female,Graduate,884,606,66,180,94,166,41,4509,68,29,86,84,163,43,61,6196
Kathryn Taylor,27,Female,Undergraduate,1182,761,54,138,48,142,55,2825,81,37,92,117,68,40,23,4481
Michael Jones,19,Male,High School,551,789,62,129,83,127,24,1398,91,85,116,167,74,26,40,3211
Marilyn Hodges,20,Female,Undergraduate,1118,544,62,128,86,160,64,4022,34,15,126,115,152,66,25,5599
David Mckinney,18,Male,High School,1205,601,69,100,54,176,80,2808,32,66,21,56,110,75,33,4281
Brandon Martin,25,Male,Graduate,934,655,58,79,44,159,99,2755,55,23,148,51,166,95,40,4427
Timothy Williams,29,Male,Graduate,767,639,56,133,85,180,27,2963,53,30,106,108,25,49,20,4474
Whitney Mosley,18,Female,Undergraduate,1077,741,67,172,72,191,80,3860,40,21,119,51,39,36,24,5513
Linda Stewart,24,Female,High School,650,577,66,190,65,174,38,1942,81,53,127,53,26,23,26,3441
Mark Robinson,20,Male,Undergraduate,937,701,68,114,26,155,34,1810,49,12,131,143,28,98,20,3389
Timothy Bradford,20,Male,Undergraduate,1011,614,58,110,87,175,44,3168,85,21,86,102,136,50,42,4778
Alexa Ramsey,22,Female,Graduate,519,605,52,168,83,165,30,4538,89,48,106,120,111,80,46,6241
Casey Gonzalez,24,Female,Graduate,837,791,55,56,93,115,52,2631,90,88,128,112,55,90,63,4419
Bryan Price,27,Male,High School,619,692,58,109,32,163,38,1618,97,89,134,78,90,73,65,3336
Adam Ross,27,Male,High School,928,546,53,196,31,195,40,1709,83,30,57,63,22,46,40,3111
Melissa Brown,29,Female,Graduate,596,550,63,194,42,150,35,2792,81,84,79,123,74,47,21,4335
Timothy Collins,28,Male,Graduate,849,675,66,179,46,175,44,3131,80,87,77,145,26,35,32,4798
Kevin Howard,20,Male,High School,1025,770,62,142,44,139,75,4495,63,48,119,109,163,27,22,6278
Bridget Richardson,24,Female,Graduate,524,511,58,89,85,177,52,1915,28,19,104,138,159,57,40,3432
Jesse Miller,18,Male,Undergraduate,631,651,54,194,59,172,94,4907,55,82,77,121,177,23,45,6711
Jessica Turner,26,Female,Undergraduate,1248,610,66,125,46,105,72,2635,90,74,36,105,74,95,54,4187
Patricia Poole,18,Female,Undergraduate,849,713,51,132,21,134,81,3360,76,92,134,53,91,15,22,4975
Tracey Jacobson,18,Female,Graduate,1132,755,56,82,81,119,78,4935,27,66,22,124,35,51,49,6480
Travis Alvarado,28,Male,High School,711,585,63,128,63,188,39,2619,71,95,130,172,110,13,60,4336
Michael Hartman,20,Male,Undergraduate,527,708,62,107,71,193,71,3742,106,22,53,158,37,81,46,5457
Joyce Green,28,Female,Graduate,759,538,64,107,27,119,60,2430,44,10,82,153,188,62,30,3914
Antonio Campbell,23,Male,High School,733,516,57,165,81,121,55,3955,96,74,116,141,131,65,20,5593
Christy Montoya,18,Female,Graduate,813,595,54,163,44,149,26,3880,30,21,94,120,25,73,31,5305
Phillip Davis,21,Male,Graduate,1122,545,68,102,95,165,71,4786,84,97,20,155,148,75,44,6455
Alyssa Brown,26,Female,Graduate,925,701,62,59,67,173,94,4652,53,79,48,133,160,78,55,6414
Austin Smith,28,Male,Undergraduate,633,705,53,54,37,174,41,2024,60,50,29,120,190,31,65,3633
Rachel Cohen,19,Female,Undergraduate,1035,766,50,56,59,199,82,3691,99,80,21,187,187,33,58,5568
Jennifer Larsen,27,Female,Undergraduate,786,581,68,145,48,163,36,1341,105,19,33,191,64,24,38,2856
Joseph Suarez,28,Male,High School,1236,712,50,178,89,140,34,3545,45,79,69,105,66,33,31,5176
Erica Williams,28,Female,Graduate,537,611,58,150,45,121,93,1211,86,30,85,85,151,70,66,2862
Christopher Graham,22,Male,Undergraduate,1143,754,62,50,24,139,36,2684,24,72,65,133,140,60,20,4263
Loretta Bailey,19,Female,Graduate,720,655,64,119,41,185,96,1973,103,38,91,160,67,34,38,3664
Erica Tyler,23,Female,High School,1142,681,65,97,53,112,87,3167,53,29,120,56,61,52,35,4668
Jennifer White,29,Female,Undergraduate,662,740,56,191,73,184,48,4434,67,97,83,194,47,30,57,6301
Ian Romero,29,Male,High School,1155,532,58,53,99,158,90,2516,92,58,60,123,118,17,41,4015
Anita Patterson,27,Female,Graduate,1251,790,52,192,66,109,49,1054,33,52,30,76,151,19,46,2719
Emily Conley,29,Female,Undergraduate,1066,597,57,172,79,117,94,1859,119,73,85,182,156,22,68,3680
Maria Martin,24,Female,Graduate,749,709,60,57,61,165,30,2611,104,66,121,71,123,88,48,4314
Terrence Mcgrath,24,Male,Graduate,813,732,58,158,64,169,75,2496,84,37,90,144,20,63,46,4236
Nicole Bradford,24,Female,Graduate,540,683,55,129,79,182,81,4201,80,50,131,142,58,39,50,5960
Savannah Lawrence,29,Female,Graduate,853,504,50,65,86,130,86,1750,99,78,127,50,28,66,40,3159
Diana Silva,28,Female,Graduate,950,779,55,184,97,183,91,1502,27,26,78,116,113,13,61,3325
Misty Lopez,29,Female,Graduate,608,556,51,156,63,146,82,4667,21,12,27,183,67,77,48,6156
William Mathis,27,Male,Graduate,1104,621,55,111,64,171,52,2149,105,48,77,134,175,73,25,3860
Luis Robinson,24,Male,Graduate,824,550,56,184,85,152,95,4002,57,90,109,121,94,18,65,5678
Brittney Curtis,28,Female,High School,894,656,58,107,39,188,32,4583,28,32,123,173,132,32,55,6238
Alicia Anderson,20,Female,High School,1262,531,50,73,38,170,59,2356,83,75,45,120,131,93,62,3886
Robin Castillo,19,Female,Graduate,1151,782,64,93,87,182,98,2155,68,56,121,149,119,93,38,4105
Anthony Moore,23,Male,Graduate,860,508,56,144,75,117,53,4728,47,71,46,81,91,93,41,6151
Samuel Scott,25,Male,High School,1096,739,56,134,30,141,91,4818,93,66,60,70,124,75,45,6542
Rebecca Nicholson,19,Female,High School,772,749,66,99,85,153,25,3924,43,14,96,105,97,14,39,5509
Margaret White,24,Female,High School,864,538,51,79,35,144,67,1672,43,98,98,138,92,95,42,3192
Linda Carey,20,Female,Undergraduate,515,557,59,87,30,151,55,4109,27,85,54,138,104,26,23,5505
Susan Chambers,24,Female,Undergraduate,672,580,52,106,99,171,48,1894,74,31,143,106,125,98,51,3578
Mark Campbell,19,Male,Graduate,581,518,51,141,86,182,72,4343,116,61,75,50,132,99,35,5961
Mark James,27,Male,High School,765,715,69,61,99,156,78,2742,68,85,45,181,128,31,31,4489
Andrew Moon,27,Male,Graduate,1051,693,58,66,27,154,27,1723,68,21,61,112,48,67,41,3166
Laura Lopez,26,Female,Graduate,1227,690,57,178,38,187,61,3732,30,66,30,159,104,78,25,5435
Sarah Rocha,25,Female,High School,503,508,57,135,52,180,41,2358,109,78,86,149,76,67,59,3955
Richard Clark,25,Male,Graduate,1263,616,51,87,86,147,75,4228,24,49,115,138,183,97,33,5929
Seth Moore,23,Male,High School,916,781,55,84,74,139,36,2764,44,16,71,183,58,49,40,4394
Thomas Barnes,19,Male,Graduate,1203,595,59,173,29,126,94,1600,118,72,47,192,176,22,28,3331
Deborah Wong,29,Female,High School,674,525,68,126,91,145,79,3564,100,99,57,118,167,80,39,5258
Timothy Moran,23,Male,High School,1212,769,69,98,36,164,70,3975,70,50,112,189,148,27,62,5839
Teresa Brady,22,Female,Undergraduate,853,561,51,130,46,131,40,4071,113,65,70,98,196,70,30,5672
Evan Moore,28,Male,Undergraduate,1219,751,61,147,24,156,82,1736,107,35,97,64,76,35,44,3415
Mary Church,24,Female,High School,516,561,56,130,92,105,90,3331,101,16,47,163,83,62,45,4882
Janet Guerrero,20,Female,High School,1059,510,51,139,20,169,30,1368,93,31,59,178,38,35,38,2759
Tina Henderson,18,Female,Graduate,1118,633,61,117,34,136,67,1152,21,62,52,58,87,47,69,2596
Amy Riley,25,Female,Graduate,864,609,51,179,80,130,53,2058,118,91,111,70,53,93,49,3745
Michael Martin,24,Male,High School,1073,641,57,116,73,127,83,1586,67,86,127,179,97,29,29,3297
Jason Downs,28,Male,Graduate,811,674,62,107,71,136,50,3094,101,40,37,122,190,94,62,4840
Daniel Hines,25,Male,High School,780,735,54,120,70,112,31,2613,81,30,32,160,119,60,32,4249
Glenda Lewis,18,Female,Graduate,1212,661,57,73,65,186,44,4176,43,89,117,86,128,90,65,5880
Carol Lee,28,Female,Graduate,561,634,62,51,66,183,56,1125,96,34,143,81,143,45,61,2780
Brandon Hoover,18,Male,High School,1292,503,51,160,96,139,69,2927,93,81,22,90,34,91,42,4398
Jeremy Meadows,21,Male,Undergraduate,1124,741,52,67,49,189,51,2793,101,32,20,165,167,32,36,4495
Katherine Sweeney,23,Female,High School,659,677,51,143,55,113,71,4005,57,43,103,102,171,19,56,5666
Jennifer Ingram,28,Female,Undergraduate,1071,768,65,84,70,159,20,3327,42,23,108,102,185,90,26,5069
Peter Rosales,29,Male,High School,1096,756,66,106,78,148,29,4282,41,10,106,57,71,31,53,5834
Emily Olson,24,Female,Graduate,1169,771,58,138,39,157,33,4768,72,80,96,97,198,66,52,6625
Alexander Miller,29,Male,Graduate,713,779,64,150,87,165,76,2486,51,18,92,174,176,76,45,4439
Alexandra Taylor,19,Female,Undergraduate,1072,752,61,137,64,127,24,4652,64,43,80,173,49,95,48,6369
Elizabeth White,24,Female,Graduate,668,708,61,151,53,134,31,1652,53,54,28,133,148,15,36,3257
Wayne Fitzgerald,21,Male,High School,1027,759,69,75,88,112,32,4714,102,66,72,113,166,74,67,6509
Robert Gonzalez,29,Male,Graduate,1269,627,65,184,56,166,35,3839,109,10,56,178,141,94,60,5620
Randy Hoffman,28,Male,High School,1248,592,68,104,47,158,87,1611,112,79,26,110,35,51,55,3135
Kevin Christensen,18,Male,High School,836,560,54,96,20,185,61,2178,65,49,35,122,160,53,51,3689
Michael Lowe,25,Male,Graduate,1279,558,69,58,93,115,37,4527,67,58,68,190,94,77,36,6047
Anne Green,20,Female,Undergraduate,833,732,53,110,65,109,44,1078,60,62,51,125,108,72,67,2736
Jerome Johnston,27,Male,Graduate,1013,552,63,109,47,192,67,4742,117,53,143,71,152,89,51,6448
Rebecca Lopez,29,Female,High School,1049,754,59,90,23,114,77,3073,119,47,83,125,37,23,21,4645
Robin Cross,18,Female,Graduate,1251,573,52,94,58,136,44,4635,115,78,27,64,108,98,36,6118
Jessica Curtis,25,Female,Undergraduate,660,515,56,187,34,127,54,2300,84,35,23,118,68,29,58,3688
Deborah Morris,18,Female,High School,1064,560,62,141,28,134,37,3925,22,55,86,107,68,54,60,5339
Alexa Wade,21,Female,Undergraduate,567,592,60,75,83,195,24,2024,70,79,88,106,126,37,25,3584
Elizabeth Thomas,28,Female,High School,797,584,56,51,63,169,88,2754,98,33,122,175,78,46,25,4342
Sarah Kaiser,23,Female,Graduate,1127,785,56,125,33,188,35,1015,56,69,67,70,154,48,41,2742
Erik Walker,22,Male,Graduate,1254,626,53,106,90,109,54,2522,78,26,66,97,198,92,41,4158
Kyle Johnston,25,Male,High School,1139,776,68,80,26,169,91,4906,45,93,119,120,73,32,21,6619
Ronald Sanchez,24,Male,Graduate,1045,660,62,192,71,105,93,1010,64,32,64,60,169,43,66,2691
Charles Miller,21,Male,Graduate,1240,573,55,74,25,179,45,1844,66,73,74,171,147,40,66,3432
Ryan Little,21,Male,Undergraduate,797,546,56,126,67,114,80,3785,61,93,133,75,172,21,26,5355
Jonathan King,23,Male,High School,655,736,63,52,42,106,78,2785,105,53,23,130,42,78,43,4336
Derek Barnes,26,Male,High School,913,765,51,110,73,105,23,1307,68,63,25,57,169,18,41,2875
Christopher Crawford,28,Male,Graduate,1018,648,66,120,68,114,28,2245,58,75,68,58,34,26,63,3671
Bryan Sullivan,21,Male,Graduate,681,600,61,82,72,129,48,3174,91,76,39,146,130,52,39,4739
Michael Morgan,25,Male,Graduate,683,626,55,169,73,153,21,4717,61,51,79,109,139,76,30,6359
David Bradshaw,25,Male,Undergraduate,906,602,51,148,54,133,92,1317,82,38,125,123,69,72,40,2946
Ashley Peterson,22,Female,Graduate,1089,617,53,100,44,123,28,2833,33,27,22,184,137,66,29,4296
Jennifer Hanson,26,Female,High School,733,781,59,196,66,124,59,4663,71,96,37,97,108,67,29,6453
Robert Wallace,19,Male,High School,1097,531,56,65,26,180,35,1497,35,57,103,130,42,45,43,2845
Brian Green,25,Male,Undergraduate,1182,778,60,178,33,103,30,3208,58,82,72,172,133,65,51,5023
David Harris,18,Male,Graduate,884,776,55,150,56,192,40,2438,109,49,58,155,118,10,32,4238
Jackson Hurley,19,Male,High School,879,649,58,152,59,126,64,3773,87,43,143,125,41,41,44,5405
Robert Jenkins,19,Male,Graduate,741,690,60,185,68,110,60,4314,82,88,108,173,191,56,35,6220
Shane Maynard,23,Male,High School,873,680,54,152,45,186,76,2479,49,25,37,146,105,19,22,4075
John Lee,20,Male,Graduate,1008,799,65,102,57,117,91,1760,116,37,46,159,36,15,40,3440
Jason Lewis,26,Male,Undergraduate,766,616,66,177,22,183,51,4772,85,33,148,170,26,98,38,6485
Keith Shaffer,26,Male,High School,1210,517,62,96,79,177,97,3922,46,62,128,172,83,69,63,5573
Marvin Wilson,22,Male,High School,636,738,56,137,36,109,39,4535,31,44,120,134,181,52,55,6267
Henry Rogers,27,Male,High School,968,605,54,131,66,170,24,1795,116,10,87,133,76,69,24,3360
Samuel Ramos,24,Male,Undergraduate,1138,502,62,154,95,165,34,3372,65,97,120,157,93,25,28,4969
Bryan Meyer,25,Male,Graduate,1087,685,58,178,70,187,86,1551,78,62,146,168,178,93,55,3595
Daniel Craig,18,Male,High School,585,631,69,92,41,162,84,4379,38,34,112,120,152,14,69,5997
Jennifer Reese,26,Female,High School,965,582,50,189,63,115,94,1677,51,55,22,62,181,24,69,3234
Crystal Gomez,21,Female,Undergraduate,950,526,58,93,28,159,54,2664,35,10,38,94,101,91,66,4017
Brittany Sanchez,29,Female,Graduate,893,522,59,85,74,169,21,4163,69,15,138,135,68,51,61,5630
Joan Mclean,22,Female,Graduate,946,742,59,91,28,122,56,2619,44,30,36,119,106,57,61,4170
Thomas Ellison,27,Male,High School,686,794,67,186,31,149,64,3371,47,69,117,175,55,45,39,5209
Lynn Cervantes,19,Female,High School,1038,556,58,94,45,133,86,3237,99,19,42,125,186,22,38,4740
Amanda Olson,29,Female,Undergraduate,833,619,60,134,49,110,94,4321,106,99,81,175,139,92,60,6139
Suzanne Harris,19,Female,Graduate,1062,510,52,158,92,164,73,3797,103,82,67,80,89,91,23,5381
Daniel Wright,20,Male,High School,795,514,69,194,72,172,93,3267,24,31,134,160,155,27,60,4972
Angel Holder,23,Male,High School,1045,505,55,108,38,107,53,2534,22,44,94,64,175,22,65,3886
Ann Stewart,27,Female,High School,845,575,53,170,41,114,31,4261,20,13,97,107,67,83,58,5690
Chris Williams,26,Male,Graduate,956,524,59,147,73,167,32,2965,119,73,110,172,117,65,55,4678
Heather Meyers,18,Female,Graduate,921,739,58,50,46,143,96,4286,40,89,139,66,70,58,30,5910
Christopher Cook,22,Male,Undergraduate,930,585,57,75,22,193,70,4975,69,61,45,112,196,16,50,6526
Jeffrey Nguyen,22,Male,High School,774,777,61,118,84,132,28,1476,59,28,85,149,25,42,31,3095
Erin Green,23,Female,Graduate,1116,658,60,86,46,191,82,3338,117,42,87,191,32,40,26,4996
Jermaine Brown,28,Male,High School,1036,513,62,82,88,167,80,4387,102,86,111,194,64,32,66,6034
Michael Martin,18,Male,Graduate,749,663,54,188,44,135,64,2596,85,17,65,53,85,17,67,4133
Marvin Johnson,27,Male,Graduate,538,556,52,198,26,128,84,3916,32,35,125,105,43,36,46,5382
Katherine Young,18,Female,Undergraduate,942,550,58,172,91,172,32,3141,25,60,68,108,194,59,37,4767
Robin Ford,24,Female,Undergraduate,955,592,56,172,20,158,22,3494,54,98,60,83,151,87,52,5099
Daniel Ellison,23,Male,High School,894,670,65,190,96,105,47,4988,89,21,31,125,100,48,20,6595
Justin Walker,28,Male,High School,980,574,64,70,53,162,52,4148,36,59,67,81,104,68,34,5572
Deanna Huber,26,Female,High School,806,575,68,119,47,186,63,3840,41,70,140,194,53,88,59,5543
Kenneth Tyler,25,Male,High School,1031,536,64,106,45,155,88,2901,62,51,55,175,55,78,33,4404
Douglas Davis,24,Male,Graduate,1103,556,68,114,36,128,26,2022,21,13,122,102,167,82,27,3484
Troy Kent,24,Male,Graduate,771,673,67,93,66,120,82,4147,74,73,141,168,130,80,35,5949
